Frame,Blur,Brightness,Contrast,Sharpness,Noise,Width,Height
motion_0373.jpg,2115.04,101.5,86.72,102.72,45.99,320,240
motion_0374.jpg,2107.67,101.45,86.73,102.4,45.91,320,240
motion_0375.jpg,2114.84,101.39,86.7,102.36,45.99,320,240
motion_0376.jpg,2119.89,101.35,86.67,102.37,46.04,320,240
motion_0377.jpg,2112.33,101.2,86.59,102.24,45.96,320,240
motion_0378.jpg,2114.47,101.13,86.57,102.23,45.98,320,240
motion_0379.jpg,2119.91,101.07,86.53,102.28,46.04,320,240
motion_0380.jpg,2123.0,101.09,86.49,102.24,46.08,320,240
motion_0381.jpg,2111.0,101.05,86.46,102.02,45.95,320,240
motion_0382.jpg,2102.99,100.87,86.42,101.68,45.86,320,240
motion_0383.jpg,2100.23,100.75,86.35,101.64,45.83,320,240
